0.86202,4.2276,8
1.0157,3.9651,8
2.7791,-1.4923,14
0.5121,4.3333,8
-1.3448,0.40202,5
2.1919,2.3059,9
-0.0675,3.1235,12
1.238,0.89053,13
-3.682,0.51395,0
-1.0061,-4.2445,2
0.14324,-3.7992,2
3.1354,0.26332,11
-2.4809,-1.9156,3
-0.85855,0.78787,5
-4.1971,0.1152,0
0.18835,-3.4485,6
-0.88245,-0.65612,7
-2.1308,-1.8216,3
2.9654,-0.051503,11
-3.1291,0.0042577,1
-1.2995,0.93989,5
-2.1081,-1.6257,3
-0.6105,-4.2728,2
-0.77969,-0.70135,7
-2.3225,2.2475,4
-0.80902,-1.2793,7
-0.81358,-1.5198,7
0.17004,4.1318,8
-0.424,-4.389,2
-4.3352,-1.6696,0
-2.4689,-0.016723,1
2.7441,-0.1176,11
1.2488,3.7048,8
-1.0508,-0.87386,7
-1.1346,-4.2035,2
-2.6193,1.9735,4
2.193,-2.1825,14
0.75209,-4.3323,2
0.11733,4.4911,8
0.69568,0.99059,13
-0.047697,2.9923,12
-1.0877,0.54285,5
-2.9909,0.049025,1
-1.1206,0.70489,5
-2.0406,2.2162,4
-0.27235,4.447,8
-0.52125,2.9684,12
-1.9658,0.80296,5
4.2049,1.1696,10
1.0171,3.9788,8
0.80445,-1.0072,15
0.75999,1.237,13
4.3984,-0.034418,10
2.1619,-2.0902,14
0.85639,1.309,13
3.161,0.65613,11
-3.277,0.0098008,1
1.177,1.198,13
1.0946,-1.0894,15
2.4553,1.908,9
0.74595,0.82897,13
-3.2004,-0.13894,1
2.2207,2.358,9
3.3515,-1.6532,14
1.1642,-0.4454,15
-2.4341,-2.6236,3
-0.87751,-1.267,7
0.88749,1.3967,13
-0.13354,-3.1459,6
-3.9907,0.16048,0
-0.70071,3.1013,12
0.38159,1.0145,13
0.88238,1.0279,13
-1.2731,-0.94453,7
1.1688,1.0961,13
-0.11094,-2.7889,6
0.71477,-0.59657,15
3.4154,0.38941,11
-4.4499,0.68392,0
-2.5127,1.7256,4
-4.4152,-0.80228,0
-0.13654,-4.5545,2
4.2224,-0.80313,10
-0.31403,-4.3807,2
-2.701,-0.71686,1
1.0071,-0.7663,15
1.8243,-2.3845,14
0.68988,-3.2064,6
3.0356,0.0225,11
